,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.118
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.352
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.45999999999999996
82,0.0
83,0.0
84,0.4959999999999999
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.6399999999999999
92,0.2799999999999999
93,0.6399999999999999
94,0.0
95,0.0
96,0.514
97,0.586
98,0.838
99,0.0
100,0.0
101,0.0
102,0.0
103,0.352
104,0.0
105,0.622
106,0.748
107,0.09999999999999998
108,0.694
109,0.838
110,0.0
111,0.44199999999999995
112,0.0
113,0.0
114,0.0
115,0.22599999999999998
116,0.712
117,0.0
118,0.09999999999999998
119,0.20799999999999996
120,0.0
121,0.4959999999999999
122,0.0
123,0.17199999999999993
124,0.766
125,0.33399999999999996
126,0.6759999999999999
127,0.0
128,0.838
129,0.0
130,0.532
131,0.73
132,0.856
133,0.712
134,0.0
135,0.82
136,0.478
137,0.0
138,0.22599999999999998
139,0.2799999999999999
140,0.73
141,0.82
142,0.0
143,0.712
144,0.0
145,0.0
146,0.33399999999999996
147,0.748
148,0.0
149,0.622
150,0.6399999999999999
151,0.2799999999999999
152,0.33399999999999996
153,0.0
154,0.0
155,0.73
156,0.5680000000000001
157,0.0
158,0.874
159,0.2799999999999999
160,0.0
161,0.0
162,0.0
163,0.712
164,0.0
165,0.55
166,0.6579999999999999
167,0.118
168,0.6759999999999999
169,0.0
170,0.0
171,0.0
172,0.694
173,0.82
174,0.118
175,0.0
176,0.0
177,0.838
178,0.352
179,0.82
180,0.766
181,0.73
182,0.6579999999999999
183,0.0
184,0.44199999999999995
185,0.0
186,0.0
187,0.0
188,0.5680000000000001
189,0.0
190,0.33399999999999996
191,0.82
192,0.586
193,0.0
194,0.15400000000000003
195,0.586
196,0.42399999999999993
197,0.0
198,0.0
199,0.0
200,0.802
201,0.0
202,0.532
203,0.712
204,0.31599999999999995
205,0.748
206,0.5680000000000001
207,0.15400000000000003
208,0.3879999999999999
209,0.0
210,0.0
211,0.55
212,0.0
213,0.0
214,0.802
215,0.0
216,0.44199999999999995
217,0.0
218,0.0
219,0.0
220,0.838
221,0.0
222,0.604
223,0.5680000000000001
224,0.262
225,0.0
226,0.514
227,0.0
228,0.0
229,0.6759999999999999
230,0.604
231,0.17199999999999993
232,0.604
233,0.6579999999999999
234,0.20799999999999996
235,0.0
236,0.622
237,0.0
238,0.0
239,0.0
240,0.766
241,0.82
242,0.4059999999999999
243,0.0
244,0.55
245,0.0
246,0.874
247,0.0
248,0.6759999999999999
249,0.784
250,0.0
251,0.0
252,0.6399999999999999
253,0.694
254,0.45999999999999996
255,0.0
256,0.0
257,0.73
258,0.0
259,0.874
260,0.0
261,0.784
262,0.2799999999999999
263,0.604
264,0.0
265,0.766
266,0.0
267,0.0
268,0.514
269,0.82
270,0.0
271,0.0
272,0.82
273,0.0
274,0.0
275,0.55
276,0.0
277,0.262
278,0.0
279,0.856
280,0.856
281,0.838
282,0.0
283,0.0
284,0.0
285,0.0
286,0.712
287,0.856
288,0.784
289,0.748
290,0.748
291,0.784
292,0.0
293,0.0
294,0.0
295,0.82
296,0.0
297,0.0
298,0.766
299,0.0
300,0.748
301,0.0
302,0.33399999999999996
303,0.0
304,0.0
305,0.0
306,0.856
307,0.0
308,0.55
309,0.0
310,0.622
311,0.0
312,0.856
313,0.694
314,0.136
315,0.766
316,0.0
317,0.0
318,0.0
319,0.622
320,0.0
321,0.2799999999999999
322,0.0
323,0.29799999999999993
324,0.0
325,0.2799999999999999
326,0.0
327,0.0
328,0.3879999999999999
329,0.748
330,0.856
331,0.5680000000000001
332,0.622
333,0.0
334,0.694
335,0.0
336,0.0
337,0.4959999999999999
338,0.838
339,0.6579999999999999
340,0.5680000000000001
341,0.766
342,0.82
343,0.82
344,0.29799999999999993
345,0.0
346,0.0
347,0.0
348,0.0
349,0.6399999999999999
350,0.712
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.874
357,0.0
358,0.0
359,0.0
360,0.5680000000000001
361,0.784
362,0.44199999999999995
363,0.766
364,0.748
365,0.4959999999999999
366,0.6399999999999999
367,0.118
368,0.766
369,0.0
370,0.0
371,0.33399999999999996
372,0.802
373,0.118
374,0.0
375,0.55
376,0.42399999999999993
377,0.0
378,0.0
379,0.31599999999999995
380,0.748
381,0.712
382,0.29799999999999993
383,0.766
384,0.0
385,0.17199999999999993
386,0.6759999999999999
387,0.0
388,0.874
389,0.766
390,0.0
391,0.0
392,0.244
393,0.244
394,0.784
395,0.712
396,0.15400000000000003
397,0.838
398,0.0
399,0.4059999999999999
400,0.0
401,0.4059999999999999
402,0.17199999999999993
403,0.0
404,0.802
405,0.37
406,0.82
407,0.802
408,0.0
409,0.18999999999999995
410,0.784
411,0.55
412,0.4959999999999999
413,0.766
414,0.0
415,0.0
416,0.0
417,0.838
418,0.18999999999999995
419,0.838
420,0.712
421,0.856
422,0.82
423,0.6399999999999999
424,0.874
425,0.0
426,0.0
427,0.0
428,0.0
429,0.31599999999999995
430,0.0
431,0.352
432,0.0
433,0.0
434,0.0
435,0.6759999999999999
436,0.478
437,0.856
438,0.0
439,0.0
440,0.0
441,0.0
442,0.136
443,0.514
444,0.0
445,0.244
446,0.0
447,0.0
448,0.478
449,0.604
450,0.838
451,0.514
452,0.514
453,0.604
454,0.0
455,0.0
456,0.45999999999999996
457,0.22599999999999998
458,0.514
459,0.18999999999999995
460,0.6759999999999999
461,0.42399999999999993
462,0.0
463,0.766
464,0.0
465,0.604
466,0.784
467,0.0
468,0.244
469,0.604
470,0.694
471,0.244
472,0.2799999999999999
473,0.5680000000000001
474,0.874
475,0.37
476,0.0
477,0.6759999999999999
478,0.0
479,0.0
480,0.622
481,0.874
482,0.0
483,0.838
484,0.22599999999999998
485,0.6399999999999999
486,0.514
487,0.0
488,0.20799999999999996
489,0.874
490,0.622
491,0.0
492,0.31599999999999995
493,0.0
494,0.0
495,0.586
496,0.37
497,0.09999999999999998
